date,open,oil
2011-03-31,1199.18,104.309998
2011-04-01,1199.06,106.620003
2011-04-04,1202.59,108.290001
2011-04-05,1195.9,108.199997
2011-04-06,1189.41,107.989998
2011-04-07,1169.07,108.669998
2011-04-08,1173.4,110.32
2011-04-11,1165.88,113.279999
2011-04-12,1150.59,108.970001
2011-04-13,1162.86,106.019997
2011-04-14,1147.0,107.32
2011-04-15,1132.0,108.449997
2011-04-18,1097.05,109.43
2011-04-19,1101.64,107.519997
2011-04-20,1117.41,108.449997
2011-04-21,1121.85,111.370003
2011-04-22,1121.85,111.370003
2011-04-25,1120.69,112.339996
2011-04-26,1129.2,112.150002
2011-04-27,1126.04,111.889999
2011-04-28,1137.05,113.129997
2011-04-29,1171.83,112.82
2011-05-02,1159.16,113.889999
2011-05-03,1140.64,112.980003
2011-05-04,1114.12,110.68
2011-05-05,1100.35,108.779999
2011-05-06,1106.73,99.760002
2011-05-09,1099.25,98.110001
2011-05-10,1111.57,102.440002
2011-05-11,1102.81,103.690002
2011-05-12,1105.96,98.589996
2011-05-13,1092.79,98.809998
2011-05-16,1085.39,99.360001
2011-05-17,1073.2,96.980003
2011-05-18,1081.0,97.57
2011-05-19,1077.86,99.760002
2011-05-20,1060.92,98.599998
2011-05-23,1035.39,99.68
2011-05-24,1029.39,97.540001
2011-05-25,1021.73,99.269997
2011-05-26,1020.58,101.239998
2011-05-27,1032.03,100.160004
2011-05-30,1046.46,100.160004
2011-05-31,1071.21,100.690002
2011-06-01,1043.95,102.68
2011-06-02,1044.05,99.790001
2011-06-03,1049.18,100.870003
2011-06-06,1038.23,100.419998
2011-06-07,1047.87,98.82
2011-06-08,1018.11,99.580002
2011-06-09,1017.01,100.830002
2011-06-10,1004.58,101.839996
2011-06-13,1006.87,98.769997
2011-06-14,1034.26,97.089996
2011-06-15,1002.84,99.68
2011-06-16,994.7,95.290001
2011-06-17,998.68,95.099998
2011-06-20,987.68,92.800003
2011-06-21,1003.13,93.489998
2011-06-22,1007.71,93.760002
2011-06-23,993.04,94.400002
2011-06-24,983.49,92.290001
2011-06-27,986.95,91.160004
2011-06-28,1000.75,90.709999
2011-06-29,1016.68,93.370003
2011-06-30,1033.42,95.080002
2011-07-01,1036.94,95.120003
2011-07-04,1041.78,95.120003
2011-07-05,1030.7,94.980003
2011-07-06,1010.85,97.0
2011-07-07,1016.01,97.040001
2011-07-08,999.54,98.790001
2011-07-11,965.91,96.099998
2011-07-12,945.74,95.089996
2011-07-13,961.72,96.720001
2011-07-14,950.29,97.589996
2011-07-15,950.69,96.029999
2011-07-18,929.41,97.370003
2011-07-19,949.39,96.160004
2011-07-20,962.93,98.110001
2011-07-21,977.07,98.360001
2011-07-22,987.53,99.199997
2011-07-25,972.63,99.760002
2011-07-26,972.08,99.150002
2011-07-27,942.77,99.18
2011-07-28,933.23,97.269997
2011-07-29,935.01,97.160004
2011-08-01,926.21,96.199997
2011-08-02,902.05,95.019997
2011-08-03,889.94,93.150002
2011-08-04,834.72,91.940002
2011-08-05,820.91,86.5
2011-08-08,756.71,85.709999
2011-08-09,790.75,81.099998
2011-08-10,772.33,81.900002
2011-08-11,811.39,81.949997
2011-08-12,813.87,85.550003
2011-08-15,845.17,85.589996
2011-08-16,835.02,87.68
2011-08-17,837.32,87.099998
