date,open,oil
2011-03-31,119918.0,104.309998
2011-04-01,119906.0,106.620003
2011-04-04,120259.0,108.290001
2011-04-05,11959.0,108.199997
2011-04-06,118941.0,107.989998
2011-04-07,116907.0,108.669998
2011-04-08,11734.0,110.320000
2011-04-11,116588.0,113.279999
2011-04-12,115059.0,108.970001
2011-04-13,116286.0,106.019997
2011-04-14,1147.0,107.320000
2011-04-15,1132.0,108.449997
2011-04-18,109705.0,109.430000
2011-04-19,110164.0,107.519997
2011-04-20,111741.0,108.449997
2011-04-21,112185.0,111.370003
2011-04-22,112185.0,112.339996
2011-04-25,112069.0,112.150002
2011-04-26,11292.0,111.889999
2011-04-27,112604.0,113.129997
2011-04-28,113705.0,112.820000
2011-04-29,117183.0,113.889999
2011-05-02,115916.0,112.980003
2011-05-03,114064.0,110.680000
2011-05-04,111412.0,108.779999
2011-05-05,110035.0,99.760002
2011-05-06,110673.0,98.110001
2011-05-09,109925.0,102.440002
2011-05-10,111157.0,103.690002
2011-05-11,110281.0,98.589996
2011-05-12,110596.0,98.809998
2011-05-13,109279.0,99.360001
2011-05-16,108539.0,96.980003
2011-05-17,10732.0,97.570000
2011-05-18,1081.0,99.760002
2011-05-19,107786.0,98.599998
2011-05-20,106092.0,99.680000
2011-05-23,103539.0,97.540001
2011-05-24,102939.0,99.269997
2011-05-25,102173.0,101.239998
2011-05-26,102058.0,100.160004
2011-05-27,103203.0,100.690002
2011-05-30,104646.0,102.680000
2011-05-31,107121.0,99.790001
2011-06-01,104395.0,100.870003
2011-06-02,104405.0,100.419998
2011-06-03,104918.0,98.820000
2011-06-06,103823.0,99.580002
2011-06-07,104787.0,100.830002
2011-06-08,101811.0,101.839996
2011-06-09,101701.0,98.769997
2011-06-10,100458.0,97.089996
2011-06-13,100687.0,99.680000
2011-06-14,103426.0,95.290001
2011-06-15,100284.0,95.099998
2011-06-16,9947.0,92.800003
2011-06-17,99868.0,93.489998
2011-06-20,98768.0,93.760002
2011-06-21,100313.0,94.400002
2011-06-22,100771.0,92.290001
2011-06-23,99304.0,91.160004
2011-06-24,98349.0,90.709999
2011-06-27,98695.0,93.370003
2011-06-28,100075.0,95.080002
2011-06-29,101668.0,95.120003
2011-06-30,103342.0,94.980003
2011-07-01,103694.0,97.000000
2011-07-04,104178.0,97.040001
2011-07-05,10307.0,98.790001
2011-07-06,101085.0,96.099998
2011-07-07,101601.0,95.089996
2011-07-08,99954.0,96.720001
2011-07-11,96591.0,97.589996
2011-07-12,94574.0,96.029999
2011-07-13,96172.0,97.370003
2011-07-14,95029.0,96.160004
2011-07-15,95069.0,98.110001
2011-07-18,92941.0,98.360001
2011-07-19,94939.0,99.199997
2011-07-20,96293.0,99.760002
2011-07-21,97707.0,99.150002
2011-07-22,98753.0,99.180000
2011-07-25,97263.0,97.269997
2011-07-26,97208.0,97.160004
2011-07-27,94277.0,96.199997
2011-07-28,93323.0,95.019997
2011-07-29,93501.0,93.150002
2011-08-01,92621.0,91.940002
2011-08-02,90205.0,86.500000
2011-08-03,88994.0,85.709999
2011-08-04,83472.0,81.099998
2011-08-05,82091.0,81.900002
2011-08-08,75671.0,81.949997
2011-08-09,79075.0,85.550003
2011-08-10,77233.0,85.589996
2011-08-11,81139.0,87.680000
